candidate_id,rank,score,reasoning
CAND_0062772,43,0.4659,Skipped for Trail7 Output
CAND_0040178,44,0.4658,Skipped for Trail7 Output
CAND_0061257,45,0.4649,Skipped for Trail7 Output
CAND_0011687,46,0.4649,Skipped for Trail7 Output
CAND_0073007,47,0.4646,Skipped for Trail7 Output
CAND_0099269,48,0.4646,Skipped for Trail7 Output
CAND_0025889,49,0.4613,Skipped for Trail7 Output
CAND_0074098,50,0.4613,Skipped for Trail7 Output
CAND_0011489,51,0.4598,Skipped for Trail7 Output
CAND_0065514,52,0.4572,Skipped for Trail7 Output
CAND_0020052,53,0.4528,Skipped for Trail7 Output
CAND_0085767,54,0.4522,Skipped for Trail7 Output
CAND_0004848,55,0.4511,Skipped for Trail7 Output
CAND_0093193,56,0.4474,Skipped for Trail7 Output
CAND_0074024,57,0.4466,Skipped for Trail7 Output
CAND_0036863,58,0.4448,Skipped for Trail7 Output
CAND_0008295,59,0.4397,Skipped for Trail7 Output
CAND_0026096,60,0.4360,Skipped for Trail7 Output
CAND_0087744,61,0.4338,Skipped for Trail7 Output
CAND_0015967,62,0.4307,Skipped for Trail7 Output
CAND_0073314,63,0.4302,Skipped for Trail7 Output
CAND_0014683,64,0.4299,Skipped for Trail7 Output
CAND_0081321,65,0.4294,Skipped for Trail7 Output
CAND_0076412,66,0.4290,Skipped for Trail7 Output
CAND_0013665,67,0.4262,Skipped for Trail7 Output
CAND_0026907,68,0.4260,Skipped for Trail7 Output
CAND_0094400,69,0.4251,Skipped for Trail7 Output
CAND_0040099,70,0.4248,Skipped for Trail7 Output
CAND_0055992,71,0.4228,Skipped for Trail7 Output
CAND_0087006,72,0.4225,Skipped for Trail7 Output
CAND_0013456,73,0.4207,Skipped for Trail7 Output
CAND_0035315,74,0.4195,Skipped for Trail7 Output
CAND_0099825,75,0.4187,Skipped for Trail7 Output
CAND_0043228,76,0.4149,Skipped for Trail7 Output
CAND_0054056,77,0.4141,Skipped for Trail7 Output
CAND_0053538,78,0.4134,Skipped for Trail7 Output
CAND_0081563,79,0.4106,Skipped for Trail7 Output
CAND_0025882,80,0.4106,Skipped for Trail7 Output
CAND_0044262,81,0.4105,Skipped for Trail7 Output
CAND_0046526,82,0.4088,Skipped for Trail7 Output
CAND_0035764,83,0.4086,Skipped for Trail7 Output
CAND_0029439,84,0.4070,Skipped for Trail7 Output
CAND_0046313,85,0.4057,Skipped for Trail7 Output
CAND_0088025,86,0.4045,Skipped for Trail7 Output
CAND_0006418,87,0.4044,Skipped for Trail7 Output
CAND_0036484,88,0.4033,Skipped for Trail7 Output
CAND_0070514,89,0.4024,Skipped for Trail7 Output
CAND_0021442,90,0.4024,Skipped for Trail7 Output
CAND_0055960,91,0.3997,Skipped for Trail7 Output
CAND_0050876,92,0.3990,Skipped for Trail7 Output
CAND_0041610,93,0.3985,Skipped for Trail7 Output
CAND_0087766,94,0.3985,Skipped for Trail7 Output
CAND_0057563,95,0.3977,Skipped for Trail7 Output
CAND_0046064,96,0.3970,Skipped for Trail7 Output
CAND_0099675,97,0.3969,Skipped for Trail7 Output
CAND_0010283,98,0.3959,Skipped for Trail7 Output
CAND_0065991,99,0.3958,Skipped for Trail7 Output
CAND_0030827,100,0.3957,Skipped for Trail7 Output
