candidate_id,rank_A,score_A,reasoning_A,rank_B,score_B,reasoning_B,rank_shift
CAND_0064904,44.0,2.7076,Matched via Hybrid Cross-Encoder; Trust Score: 0.75,5000.0,,,-4956.0
CAND_0026855,89.0,2.2215,Matched via Hybrid Cross-Encoder; Trust Score: 0.72,5000.0,,,-4911.0
CAND_0031752,17.0,3.2065,Matched via Hybrid Cross-Encoder; Trust Score: 0.80,5000.0,,,-4983.0
CAND_0032955,51.0,2.6638,Matched via Hybrid Cross-Encoder; Trust Score: 0.69,5000.0,,,-4949.0
CAND_0026716,99.0,2.1698,Matched via Hybrid Cross-Encoder; Trust Score: 0.74,5000.0,,,-4901.0
CAND_0004972,64.0,2.5192,Matched via Hybrid Cross-Encoder; Trust Score: 0.63,5000.0,,,-4936.0
CAND_0005311,14.0,3.263,Matched via Hybrid Cross-Encoder; Trust Score: 0.64,5000.0,,,-4986.0
CAND_0001131,20.0,3.1399,Matched via Hybrid Cross-Encoder; Trust Score: 0.65,5000.0,,,-4980.0
CAND_0002120,69.0,2.4701,Matched via Hybrid Cross-Encoder; Trust Score: 0.80,5000.0,,,-4931.0
CAND_0000666,82.0,2.3177,Matched via Hybrid Cross-Encoder; Trust Score: 0.67,5000.0,,,-4918.0
CAND_0009691,70.0,2.4604,Matched via Hybrid Cross-Encoder; Trust Score: 0.75,5000.0,,,-4930.0
CAND_0014683,65.0,2.4944,Matched via Hybrid Cross-Encoder; Trust Score: 0.63,5000.0,,,-4935.0
CAND_0014858,8.0,3.5114,Matched via Hybrid Cross-Encoder; Trust Score: 0.76,5000.0,,,-4992.0
CAND_0087744,57.0,2.5641,Matched via Hybrid Cross-Encoder; Trust Score: 0.71,5000.0,,,-4943.0
CAND_0084819,16.0,3.2464,Matched via Hybrid Cross-Encoder; Trust Score: 0.74,5000.0,,,-4984.0
CAND_0081852,35.0,2.9011,Matched via Hybrid Cross-Encoder; Trust Score: 0.79,5000.0,,,-4965.0
CAND_0078262,79.0,2.3319,Matched via Hybrid Cross-Encoder; Trust Score: 0.70,5000.0,,,-4921.0
CAND_0078002,81.0,2.3228,Matched via Hybrid Cross-Encoder; Trust Score: 0.79,5000.0,,,-4919.0
CAND_0076587,84.0,2.2917,Matched via Hybrid Cross-Encoder; Trust Score: 0.76,5000.0,,,-4916.0
CAND_0070485,21.0,3.1095,Matched via Hybrid Cross-Encoder; Trust Score: 0.69,5000.0,,,-4979.0
CAND_0069503,72.0,2.4304,Matched via Hybrid Cross-Encoder; Trust Score: 0.72,5000.0,,,-4928.0
CAND_0068596,86.0,2.2835,Matched via Hybrid Cross-Encoder; Trust Score: 0.76,5000.0,,,-4914.0
CAND_0070514,68.0,2.4727,Matched via Hybrid Cross-Encoder; Trust Score: 0.78,5000.0,,,-4932.0
CAND_0071033,93.0,2.197,Matched via Hybrid Cross-Encoder; Trust Score: 0.69,5000.0,,,-4907.0
CAND_0046278,30.0,2.9632,Matched via Hybrid Cross-Encoder; Trust Score: 0.72,5000.0,,,-4970.0
CAND_0093912,41.0,2.818,Matched via Hybrid Cross-Encoder; Trust Score: 0.73,5000.0,,,-4959.0
CAND_0095207,60.0,2.5494,Matched via Hybrid Cross-Encoder; Trust Score: 0.58,5000.0,,,-4940.0
CAND_0096142,62.0,2.5211,Matched via Hybrid Cross-Encoder; Trust Score: 0.83,5000.0,,,-4938.0
CAND_0089444,100.0,2.1686,Matched via Hybrid Cross-Encoder; Trust Score: 0.66,5000.0,,,-4900.0
CAND_0097176,29.0,2.974,Matched via Hybrid Cross-Encoder; Trust Score: 0.65,5000.0,,,-4971.0
